BIDGBPUSD;BIDUSDJPY;ASKGBPJPY
1.2506;101.78;127.342
1.2506;101.77;127.337
1.2505;101.77;127.322
1.2506;101.77;127.331
1.2506;101.77;127.331
1.2506;101.77;127.329
1.2505;101.77;127.337
1.2506;101.79;127.369
1.2505;101.79;127.369
1.2506;101.79;127.366
1.2506;101.79;127.366
1.2506;101.79;127.365
1.2506;101.77;127.345
1.2506;101.75;127.312
1.2506;101.75;127.312
1.2506;101.75;127.312
1.2506;101.75;127.309
1.2506;101.77;127.333
1.2506;101.77;127.337
1.2506;101.79;127.35
1.2506;101.79;127.361
1.2506;101.8;127.365
1.2506;101.81;127.378
1.2506;101.81;127.381
1.2506;101.81;127.377
1.2506;101.83;127.404
1.2506;101.82;127.399
1.2506;101.83;127.404
1.2506;101.83;127.402
1.2506;101.83;127.403
1.2506;101.83;127.399
1.2506;101.83;127.402
1.2506;101.82;127.396
1.2506;101.83;127.399
1.2506;101.82;127.394
1.2506;101.83;127.398
1.2506;101.84;127.413
1.2506;101.84;127.415
1.2503;101.83;127.369
1.2501;101.83;127.367
1.2501;101.83;127.368
1.2501;101.84;127.37
1.2501;101.83;127.373
1.2501;101.83;127.359
1.2501;101.83;127.356
1.2501;101.8;127.338
1.2502;101.8;127.337
1.2501;101.81;127.345
1.2501;101.82;127.348
1.2501;101.82;127.35
1.25;101.82;127.353
1.2502;101.82;127.368
1.2499;101.82;127.332
1.2498;101.82;127.334
1.2498;101.83;127.339
1.2495;101.81;127.291
1.2495;101.8;127.273
1.2495;101.8;127.276
1.2495;101.8;127.271
1.2495;101.8;127.272
1.2496;101.8;127.273
1.2496;101.81;127.28
1.2496;101.8;127.277
1.2497;101.8;127.276
1.2497;101.8;127.271
1.2494;101.78;127.219
1.2494;101.77;127.208
1.2494;101.76;127.208
1.2494;101.74;127.182
1.2497;101.74;127.214
1.2498;101.74;127.213
1.2498;101.73;127.212
1.2498;101.73;127.208
1.2498;101.75;127.237
1.2498;101.75;127.231
1.2498;101.76;127.242
1.2498;101.74;127.213
